StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 24 22:17:37,153,0,3051,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
1,280,280,0,331,346,1000,1000,0,1000,1000
2,313,280,0,363,378,0,1000,1000,1000,1000
3,313,313,0,395,410,1000,1000,0,1000,1000
4,313,313,0,395,410,0,1000,1000,1000,1000
5,346,313,0,427,442,0,1000,1000,1000,1000
6,345,346,0,459,474,1000,1000,0,1000,1000
7,377,345,0,491,506,0,1000,1000,1000,1000
8,376,377,0,522,537,1000,1000,0,1000,1000
9,376,377,0,553,568,0,1000,1000,1000,1000
10,408,376,0,584,599,1000,1000,0,1000,1000
11,407,408,0,584,599,1000,1000,1000,1000,1000
12,439,407,0,615,630,0,1000,1000,1000,1000
