StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 09:25:52,153,10,3051,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, 22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, 22222]","[5, 1, 1, 10, 100, 1, 32767, -50, 22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
1,1381,1390,1390,1469,1467,135,150,1000,260,130
2,1381,1390,1390,1469,1467,135,150,1000,260,130
3,1381,1383,1390,1469,1467,135,150,1000,160,130
4,1381,1383,1390,1469,1467,135,150,1000,160,130
5,1380,1379,1390,1469,1467,1000,150,1000,160,130
6,1380,1379,1390,1469,1467,1000,150,1000,160,130
7,1379,1374,1390,1469,1467,1000,150,1000,160,130
8,1379,1374,1390,1469,1467,1000,150,1000,160,130
9,1379,1374,1390,1470,1467,1000,45,1000,160,130
10,1378,1370,1390,1470,1467,1000,45,1000,160,130
11,1378,1370,1390,1470,1467,1000,45,1000,160,130
12,1378,1368,1391,1471,1469,150,40,1000,0,25
13,1378,1368,1391,1471,1469,150,40,1000,0,25
14,1378,1366,1391,1471,1469,150,140,1000,150,125
15,1378,1366,1391,1471,1469,150,140,1000,150,125
16,1376,1363,1391,1471,1469,1000,140,1000,150,125
17,1376,1363,1391,1471,1469,1000,140,1000,150,125
18,1376,1361,1391,1471,1469,1000,140,1000,150,125
19,1375,1361,1391,1471,1469,1000,140,1000,150,125
20,1375,1361,1391,1471,1469,165,140,1000,150,125
21,1375,1360,1391,1471,1469,165,140,1000,150,125
22,1375,1360,1391,1471,1469,165,140,1000,150,125
23,1375,1360,1391,1470,1469,165,245,240,150,125
24,1375,1360,1391,1470,1469,165,245,240,150,125
25,1375,1360,1391,1471,1469,165,40,240,150,125
26,1375,1360,1391,1471,1469,165,40,240,150,125
27,1375,1360,1391,1470,1468,165,245,240,255,125
28,1375,1360,1391,1470,1468,165,245,240,255,125
29,1375,1360,1391,1471,1469,165,40,0,50,125
30,1375,1361,1391,1471,1469,165,40,0,50,125
31,1375,1361,1391,1471,1469,0,140,235,150,125
32,1376,1361,1391,1471,1469,0,140,235,150,125
33,1376,1361,1391,1471,1469,0,140,235,150,125
34,1378,1362,1391,1471,1469,0,140,0,150,125
35,1378,1362,1391,1471,1469,0,140,0,150,125
36,1378,1363,1391,1471,1469,150,140,0,150,125
37,1378,1363,1391,1471,1469,150,140,0,150,125
38,1379,1365,1391,1470,1469,0,245,0,150,125
39,1379,1365,1391,1470,1469,0,245,0,150,125
40,1379,1365,1390,1470,1468,0,145,0,255,230
41,1380,1366,1390,1470,1468,0,145,0,255,230
42,1380,1366,1390,1470,1468,0,145,0,255,230
43,1380,1368,1390,1470,1468,140,145,0,155,130
44,1380,1368,1390,1470,1468,140,145,0,155,130
45,1380,1369,1390,1470,1468,140,145,0,155,130
46,1380,1369,1390,1470,1468,140,145,0,155,130
47,1379,1371,1390,1471,1469,1000,40,0,50,130
48,1379,1371,1390,1471,1469,1000,40,0,50,130
49,1379,1372,1390,1471,1469,1000,140,0,150,130
50,1378,1372,1390,1471,1469,1000,140,0,150,130
51,1378,1372,1390,1471,1469,1000,140,0,150,340
52,1375,1373,1388,1471,1469,1000,140,0,150,340
53,1375,1373,1388,1471,1469,1000,140,0,150,340
54,1373,1374,1387,1470,1469,1000,245,0,150,245
55,1373,1374,1387,1470,1469,1000,245,0,150,245
56,1371,1375,1386,1470,1469,1000,145,0,150,250
57,1371,1375,1386,1470,1469,1000,145,0,150,250
58,1370,1376,1385,1469,1468,1000,250,0,255,255
59,1370,1376,1385,1469,1468,1000,250,0,255,255
60,1370,1378,1385,1469,1468,190,150,0,155,155
61,1370,1378,1385,1469,1468,190,150,0,155,155
62,1370,1378,1385,1469,1468,0,150,0,155,260
63,1371,1379,1384,1469,1468,0,150,0,155,260
64,1371,1379,1384,1469,1468,0,150,0,155,260
65,1372,1379,1382,1469,1467,0,150,145,260,370
66,1372,1379,1382,1469,1467,0,150,145,260,370
67,1373,1380,1382,1469,1467,0,150,0,160,170
68,1373,1380,1382,1469,1467,0,150,0,160,170
69,1375,1380,1381,1469,1467,0,150,140,160,275
70,1375,1380,1381,1469,1467,0,150,140,160,275
71,1375,1380,1380,1469,1467,0,150,0,160,280
72,1378,1381,1380,1469,1467,0,150,0,160,280
73,1378,1381,1380,1469,1467,0,150,0,160,280
74,1381,1381,1380,1469,1467,0,150,135,160,180
75,1381,1381,1380,1469,1467,0,150,135,160,180
76,1383,1381,1379,1469,1467,0,150,135,160,285
77,1383,1381,1379,1469,1467,0,150,135,160,285
78,1386,1381,1379,1469,1467,0,150,135,160,185
79,1386,1381,1379,1469,1467,0,150,135,160,185
80,1386,1381,1380,1469,1466,0,150,135,265,80
81,1390,1381,1380,1469,1466,0,150,135,265,80
82,1390,1381,1380,1469,1467,0,150,0,60,180
83,1392,1382,1380,1469,1467,0,150,0,60,180
84,1392,1382,1380,1469,1467,0,150,0,60,180
85,1394,1382,1380,1469,1467,0,150,130,160,180
86,1394,1382,1380,1469,1467,0,150,130,160,180
87,1396,1382,1380,1469,1467,0,150,130,160,180
88,1396,1382,1380,1469,1467,0,150,130,160,180
89,1398,1382,1381,1469,1466,0,150,130,265,75
90,1398,1382,1381,1469,1466,0,150,130,265,75
91,1398,1382,1381,1470,1466,0,45,130,165,175
92,1400,1382,1381,1470,1466,0,45,130,165,175
93,1400,1382,1381,1470,1466,0,145,130,165,175
94,1401,1382,1381,1470,1466,0,145,130,165,175
95,1401,1382,1381,1470,1466,0,145,130,165,175
96,1403,1382,1382,1470,1466,0,145,130,165,70
97,1403,1382,1382,1470,1466,0,145,130,165,70
98,1404,1383,1383,1470,1466,0,145,0,165,65
99,1404,1383,1383,1470,1466,0,145,0,165,65
100,1406,1384,1384,1471,1468,0,40,0,0,60
101,1406,1384,1384,1471,1468,0,40,0,0,60
102,1406,1384,1384,1471,1468,0,140,0,155,160
103,1407,1385,1384,1471,1468,0,140,0,155,160
104,1407,1385,1384,1471,1468,0,245,115,155,55
105,1408,1385,1385,1470,1468,0,245,115,155,55
106,1408,1385,1385,1470,1468,0,245,115,155,55
107,1409,1385,1385,1470,1467,0,145,115,260,155
108,1409,1385,1385,1470,1467,0,145,115,260,155
109,1410,1385,1385,1470,1467,0,145,115,160,155
110,1410,1385,1385,1470,1467,0,145,115,160,155
111,1410,1386,1386,1470,1467,0,145,0,160,50
112,1410,1386,1386,1470,1467,0,145,0,160,50
