StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 13:57:54,153,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,1385,1396,1388,1468,1465,0,155,60,170,140
1,1384,1395,1387,1469,1466,1000,50,65,65,145
2,1384,1395,1388,1468,1466,120,155,0,165,40
3,1384,1396,1388,1468,1466,120,155,0,165,40
4,1384,1396,1388,1468,1466,120,155,0,165,40
5,1383,1396,1387,1469,1465,1000,50,60,170,145
6,1383,1396,1387,1469,1465,1000,50,60,170,145
7,1384,1395,1387,1468,1466,0,155,65,65,145
8,1384,1395,1387,1468,1466,0,155,65,65,145
9,1383,1395,1387,1468,1465,1000,155,65,170,145
10,1383,1395,1387,1468,1465,1000,155,65,170,145
11,1384,1394,1387,1468,1466,0,155,70,65,145
12,1384,1394,1387,1468,1466,0,155,70,65,145
13,1384,1394,1387,1469,1467,120,50,0,60,145
14,1384,1396,1387,1469,1467,120,50,0,60,145
15,1384,1396,1387,1469,1467,120,50,0,60,145
16,1385,1396,1388,1470,1466,0,45,60,165,40
17,1385,1396,1388,1470,1466,0,45,60,165,40
18,1386,1396,1388,1469,1467,0,150,60,60,140
19,1386,1396,1388,1469,1467,0,150,60,60,140
20,1387,1396,1387,1469,1466,0,150,60,165,145
21,1387,1396,1387,1469,1466,0,150,60,165,145
22,1388,1395,1387,1469,1465,0,150,65,170,145
23,1388,1395,1387,1469,1465,0,150,65,170,145
24,1388,1395,1387,1470,1466,0,45,65,65,145
25,1390,1395,1387,1470,1466,0,45,65,65,145
26,1390,1395,1387,1470,1466,0,45,65,65,145
27,1391,1396,1387,1469,1466,0,150,0,165,145
28,1391,1396,1387,1469,1466,0,150,0,165,145
29,1393,1395,1387,1470,1466,0,45,65,165,145
30,1393,1395,1387,1470,1466,0,45,65,165,145
31,1394,1396,1387,1469,1465,0,150,0,170,145
32,1394,1396,1387,1469,1465,0,150,0,170,145
33,1395,1395,1386,1469,1466,0,150,65,65,150
34,1395,1395,1386,1469,1466,0,150,65,65,150
35,1395,1395,1386,1469,1466,0,150,65,165,150
36,1396,1396,1386,1469,1466,0,150,0,165,150
37,1396,1396,1386,1469,1466,0,150,0,165,45
38,1396,1396,1387,1469,1466,60,150,60,165,45
39,1396,1396,1387,1469,1466,60,150,60,165,45
40,1397,1395,1387,1470,1466,0,45,65,165,145
41,1397,1395,1387,1470,1466,0,45,65,165,145
42,1397,1396,1386,1469,1466,55,150,0,165,150
43,1397,1396,1386,1469,1466,55,150,0,165,150
44,1397,1396,1386,1469,1467,0,0,0,60,45
45,1399,1397,1387,1471,1467,0,0,0,60,45
46,1399,1397,1387,1471,1467,0,0,55,160,145
47,1399,1397,1387,1470,1467,45,145,55,160,145
48,1399,1397,1387,1470,1467,45,145,55,160,145
49,1400,1396,1386,1470,1467,0,145,60,160,150
50,1400,1396,1386,1470,1467,0,145,60,160,150
51,1400,1397,1387,1470,1467,40,145,0,160,45
52,1400,1397,1387,1470,1467,40,145,0,160,45
53,1400,1397,1386,1470,1467,40,145,55,160,150
54,1400,1397,1386,1470,1467,40,145,55,160,150
55,1400,1397,1386,1470,1467,0,145,55,55,150
56,1401,1397,1386,1470,1468,0,145,55,55,150
57,1401,1397,1386,1470,1468,0,145,60,155,45
58,1400,1396,1387,1469,1468,40,150,60,155,45
59,1400,1396,1387,1469,1468,40,150,60,155,45
60,1401,1397,1386,1469,1467,0,150,0,160,150
61,1401,1397,1386,1469,1467,0,150,0,160,150
62,1400,1397,1386,1469,1468,40,150,55,55,150
63,1400,1397,1386,1469,1468,40,150,55,55,150
64,1400,1397,1386,1470,1468,40,45,55,155,150
65,1400,1397,1386,1470,1468,40,45,55,155,150
66,1400,1397,1386,1470,1468,0,40,55,160,150
67,1401,1397,1386,1471,1467,0,40,55,160,150
68,1401,1397,1386,1471,1467,0,40,55,160,150
69,1401,1397,1386,1470,1467,35,145,55,160,150
70,1401,1397,1386,1470,1467,35,145,55,160,150
71,1400,1397,1386,1471,1467,40,40,55,160,150
72,1400,1397,1386,1471,1467,40,40,55,160,150
73,1401,1396,1386,1470,1468,0,145,60,55,150
