StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:41:40,155,10,3000,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
0,1375,1365,1378,1468,1467,1000,155,215,60,190
1,1368,1351,1376,1467,1467,1000,160,285,160,200
2,1368,1351,1376,1467,1467,1000,160,285,160,200
3,1355,1333,1378,1467,1467,1000,160,1000,160,0
4,1355,1333,1378,1467,1467,1000,160,1000,160,0
5,1355,1333,1378,1468,1467,1000,55,1000,160,190
6,1345,1318,1378,1468,1467,1000,55,1000,160,190
7,1345,1318,1378,1468,1467,1000,55,1000,160,190
8,1341,1307,1378,1468,1467,1000,155,1000,160,190
9,1341,1307,1378,1468,1467,1000,155,1000,160,190
10,1339,1301,1376,1468,1467,1000,155,1000,160,200
11,1339,1301,1376,1468,1467,1000,155,1000,160,200
12,1339,1295,1378,1468,1467,345,155,1000,160,0
13,1339,1295,1378,1468,1467,345,155,1000,160,0
14,1339,1292,1378,1468,1467,345,155,1000,160,190
15,1339,1292,1378,1468,1467,345,155,1000,160,190
16,1339,1292,1378,1468,1467,345,155,1000,160,200
17,1338,1289,1376,1469,1467,1000,50,1000,160,200
18,1338,1289,1376,1469,1467,1000,50,1000,160,200
19,1338,1288,1376,1468,1467,350,155,1000,160,200
20,1338,1288,1376,1468,1467,350,155,1000,160,200
21,1339,1288,1376,1469,1467,0,50,600,160,200
22,1339,1288,1376,1469,1467,0,50,600,160,200
23,1341,1288,1376,1469,1467,0,150,600,160,200
24,1341,1288,1376,1469,1467,0,150,600,160,200
25,1341,1288,1376,1469,1467,335,150,0,160,205
26,1341,1289,1375,1469,1467,335,150,0,160,205
27,1341,1289,1375,1469,1467,335,150,0,160,100
28,1343,1290,1376,1468,1467,0,155,0,160,100
29,1343,1290,1376,1468,1467,0,155,0,160,205
