StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 09:04:29,156,10,2910,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
0,988,1009,1271,1378,1379,1000,105,0,400,425
1,988,1009,1271,1378,1379,1000,105,0,400,620
2,991,1011,1272,1379,1381,0,500,0,390,620
3,991,1011,1272,1379,1381,0,500,0,390,620
4,992,1012,1273,1380,1381,1000,495,980,590,615
5,992,1012,1273,1380,1381,1000,495,980,590,615
6,994,1016,1275,1380,1382,70,595,0,485,505
7,994,1016,1275,1380,1382,70,595,0,485,505
8,994,1016,1277,1381,1383,1000,490,0,480,495
9,995,1018,1277,1381,1383,1000,490,0,480,495
10,995,1018,1277,1381,1383,1000,490,0,480,495
11,997,1019,1278,1382,1384,55,485,945,475,590
12,997,1019,1278,1382,1384,55,485,945,475,590
13,999,1021,1279,1384,1385,45,375,0,470,585
14,999,1021,1279,1384,1385,45,375,0,470,585
15,1002,1023,1282,1385,1386,0,470,0,465,370
16,1002,1023,1282,1385,1386,0,470,0,465,370
17,1005,1025,1284,1389,1390,0,150,0,145,460
18,1005,1025,1284,1389,1390,0,150,0,145,460
19,1005,1025,1285,1389,1391,0,550,0,440,555
20,1007,1028,1285,1389,1391,0,550,0,440,555
21,1007,1028,1285,1389,1391,0,550,0,440,555
22,1009,1029,1286,1390,1392,0,445,895,435,550
23,1009,1029,1286,1390,1392,0,445,895,435,550
24,1011,1032,1288,1392,1394,0,335,0,325,440
25,1011,1032,1288,1392,1394,0,335,0,325,440
26,1015,1034,1288,1392,1394,0,535,0,525,640
27,1015,1034,1288,1392,1394,0,535,0,525,640
28,1015,1034,1288,1393,1394,0,430,0,525,430
29,1017,1036,1290,1393,1394,0,430,0,525,430
30,1017,1036,1290,1395,1396,0,320,0,315,525
31,1019,1038,1291,1395,1396,0,320,0,315,525
32,1019,1038,1291,1395,1396,0,415,0,515,415
33,1021,1040,1293,1396,1396,0,415,0,515,415
34,1021,1040,1293,1396,1396,0,415,0,515,415
35,1023,1042,1294,1396,1398,0,515,0,305,510
36,1023,1042,1294,1396,1398,0,515,0,305,510
37,1024,1043,1296,1397,1400,920,410,825,295,400
38,1024,1043,1296,1397,1400,920,410,825,295,400
39,1024,1043,1296,1397,1401,915,510,0,390,495
