StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 09:47:47,156,10,2910,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, 22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, 22222]","[5, 1, 1, 10, 100, 1, 32767, -50, 22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,MiddlePWM,FrontPWM,UpPWM,LoPWM
1,1350,1385,1387,1454,1461,1000,125,1000,190,145
2,1350,1385,1387,1454,1461,1000,125,1000,190,145
3,1338,1383,1388,1454,1461,1000,225,1000,190,40
4,1338,1383,1388,1454,1461,1000,225,1000,190,40
5,1338,1383,1388,1454,1461,1000,225,1000,190,140
6,1337,1380,1388,1454,1461,1000,225,1000,190,140
7,1337,1380,1388,1454,1461,1000,225,1000,190,140
8,1338,1376,1388,1454,1461,0,225,1000,190,140
9,1338,1376,1388,1454,1461,0,225,1000,190,140
10,1340,1373,1387,1454,1461,0,225,1000,190,245
11,1340,1373,1387,1454,1461,0,225,1000,190,245
12,1342,1370,1388,1455,1461,0,120,1000,190,40
13,1342,1370,1388,1455,1461,0,120,1000,190,40
14,1342,1367,1387,1455,1461,0,220,1000,190,245
15,1344,1367,1387,1455,1461,0,220,1000,190,245
16,1344,1367,1387,1455,1461,0,220,1000,190,40
17,1346,1361,1388,1455,1461,0,220,1000,190,40
18,1346,1361,1388,1455,1461,0,220,1000,190,40
19,1350,1358,1388,1455,1463,0,220,1000,0,140
20,1350,1358,1388,1455,1463,0,220,1000,0,140
21,1351,1355,1390,1455,1461,0,220,1000,390,0
22,1351,1355,1390,1455,1461,0,220,1000,390,0
23,1355,1354,1390,1456,1461,0,115,1000,190,130
24,1355,1354,1390,1456,1461,0,115,1000,190,130
25,1355,1354,1390,1457,1463,0,110,1000,0,130
26,1357,1352,1390,1457,1463,0,110,1000,0,130
27,1357,1352,1390,1457,1463,0,110,1000,0,130
28,1358,1349,1390,1456,1463,0,315,1000,180,130
29,1358,1349,1390,1456,1463,0,315,1000,180,130
30,1359,1346,1390,1455,1461,0,320,1000,390,130
31,1359,1346,1390,1455,1461,0,320,1000,390,130
32,1360,1345,1388,1456,1463,0,115,1000,0,340
33,1360,1345,1388,1456,1463,0,115,1000,0,340
34,1361,1345,1388,1455,1464,0,320,315,75,140
35,1361,1345,1388,1455,1464,0,320,315,75,140
36,1361,1345,1388,1455,1464,0,320,315,280,140
37,1361,1343,1388,1456,1463,235,115,1000,280,140
38,1361,1343,1388,1456,1463,235,115,1000,280,140
39,1361,1344,1388,1457,1463,235,110,0,180,140
40,1361,1344,1388,1457,1463,235,110,0,180,140
41,1363,1344,1388,1456,1463,0,315,320,180,140
42,1363,1344,1388,1456,1463,0,315,320,180,140
43,1362,1345,1388,1457,1461,1000,110,0,390,140
44,1362,1345,1388,1457,1461,1000,110,0,390,140
45,1362,1346,1388,1458,1463,0,105,0,0,140
46,1363,1346,1388,1458,1463,0,105,0,0,140
47,1363,1346,1388,1458,1463,0,105,0,0,140
48,1365,1349,1388,1457,1461,0,310,0,390,140
49,1365,1349,1388,1457,1461,0,310,0,390,140
50,1365,1350,1387,1457,1461,215,210,0,190,245
