StartTime,CookTime,PlatenTime,CookZone,RearSP,MidSP,FrontSP,RearPID,MidPID,FrontPID
Time: 2016 Jan 22 15:39:40,156,10,2910,1406,1406,1406,"[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 1000, 1, 32767, -10, -22222]","[5, 1, 1, 10, 100, 1, 32767, -50, -22222]"
Time,RearTemp,MiddleTemp,FrontTemp,UpGrate,LoGrate,RearPWM,UpPWM,MiddlePWM,LoPWM,FrontPWM
1,1386,1433,1396,1469,1469,110,150,0,50,0
2,1386,1433,1396,1469,1469,110,155,0,150,100
3,1387,1432,1396,1468,1469,0,155,0,150,100
4,1387,1432,1396,1468,1469,0,155,0,150,105
5,1387,1432,1395,1468,1469,105,155,0,150,105
6,1387,1432,1395,1468,1469,105,155,0,150,105
7,1387,1430,1395,1470,1469,105,0,0,150,105
8,1387,1430,1395,1470,1469,105,0,0,150,105
9,1387,1430,1395,1468,1469,105,155,0,150,105
10,1387,1430,1395,1468,1469,105,155,0,150,105
11,1387,1430,1395,1470,1469,105,0,0,150,105
12,1387,1430,1395,1470,1469,105,0,0,150,105
